course_link,course_id,course_name,course_slug,reviews_id,1_star_reviews,2_star_reviews,3_star_reviews,4_star_reviews,5_star_reviews,total_reviews
https://www.coursera.org/learn/gcp-cost-management,tBTI_mtAEei3MApPr8ib6A,Understanding Your Google Cloud Costs,gcp-cost-management,COURSE~tBTI_mtAEei3MApPr8ib6A,0,0,2,3,9,14
https://www.coursera.org/learn/gcp-cost-management-br,7IOJoLA1EeqJ9grhx9tKsw,Understanding Your Google Cloud Costs em Português,gcp-cost-management-br,COURSE~7IOJoLA1EeqJ9grhx9tKsw,0,0,0,0,2,2
https://www.coursera.org/learn/gcp-cost-management-es,HZUufrA2EeqLBg57IxeL5w,Understanding Your Google Cloud Costs en Español,gcp-cost-management-es,COURSE~HZUufrA2EeqLBg57IxeL5w,0,0,0,0,0,0
https://www.coursera.org/learn/gcp-cost-management-fr,p7TVa7A2EeqU_BKxEWcVww,Understanding Your Google Cloud Costs en Français,gcp-cost-management-fr,COURSE~p7TVa7A2EeqU_BKxEWcVww,0,0,0,0,0,0
https://www.coursera.org/learn/gcp-cost-management-jp,o1DUF6G0Eeq4RhLFNhvWjQ,Understanding Your Google Cloud Costs 日本語版,gcp-cost-management-jp,COURSE~o1DUF6G0Eeq4RhLFNhvWjQ,0,0,0,0,0,0
https://www.coursera.org/learn/gcp-cost-optimization-br,J9yepLAwEeq30A415-tStQ,Optimizing Your Google Cloud Costs em Português ,gcp-cost-optimization-br,COURSE~J9yepLAwEeq30A415-tStQ,0,1,0,1,0,2
https://www.coursera.org/learn/gcp-cost-optimization-es,0b8RPrAwEeqJ9grhx9tKsw,Optimizing Your Google Cloud Costs en Español,gcp-cost-optimization-es,COURSE~0b8RPrAwEeqJ9grhx9tKsw,0,1,0,0,0,1
https://www.coursera.org/learn/gcp-cost-optimization-fr,ptX2ELAwEeqP6QqV6TddSw,Optimizing Your Google Cloud Costs en Français,gcp-cost-optimization-fr,COURSE~ptX2ELAwEeqP6QqV6TddSw,0,0,0,0,0,0
https://www.coursera.org/learn/gcp-cost-optimization-jp,u4I4sKG0Eeq3ORInZA4h7Q,Optimizing Your Google Cloud Costs 日本語版,gcp-cost-optimization-jp,COURSE~u4I4sKG0Eeq3ORInZA4h7Q,0,0,0,0,0,0
https://www.coursera.org/learn/gcp-creating-bigquery-datasets-visualizing-insights,atkdXbKeEeemqw5WgBHkCA,Creating New BigQuery Datasets and Visualizing Insights,gcp-creating-bigquery-datasets-visualizing-insights,COURSE~atkdXbKeEeemqw5WgBHkCA,5,4,15,38,109,171
https://www.coursera.org/learn/gcp-creating-bigquery-datasets-visualizing-insights-jp,mfU4knftEemLag4c2c9Z4A,Creating New BigQuery Datasets and Visualizing Insights 日本語版,gcp-creating-bigquery-datasets-visualizing-insights-jp,COURSE~mfU4knftEemLag4c2c9Z4A,0,0,0,0,0,0
https://www.coursera.org/learn/gcp-exploring-preparing-data-bigquery,fcZrZLB0EeeQLRLS0gmBZA,Exploring ​and ​Preparing ​your ​Data with BigQuery,gcp-exploring-preparing-data-bigquery,COURSE~fcZrZLB0EeeQLRLS0gmBZA,9,12,35,110,327,493
https://www.coursera.org/learn/gcp-exploring-preparing-data-bigquery-jp,dWV6p3ftEemcwxKZhm8aUA,Exploring ​and ​Preparing ​your ​Data with BigQuery 日本語版,gcp-exploring-preparing-data-bigquery-jp,COURSE~dWV6p3ftEemcwxKZhm8aUA,0,0,0,0,0,0
https://www.coursera.org/learn/gcp-fundamentals,h9LqVq-lEeauxBIk_RF-8A,Google Cloud Fundamentals: Core Infrastructure,gcp-fundamentals,COURSE~h9LqVq-lEeauxBIk_RF-8A,82,69,259,1432,5925,7767
https://www.coursera.org/learn/gcp-fundamentals-aws,_qMNfupfEea9sQ4_cyco6A,Google Cloud Fundamentals for AWS Professionals,gcp-fundamentals-aws,COURSE~_qMNfupfEea9sQ4_cyco6A,15,2,13,74,312,416
https://www.coursera.org/learn/gcp-fundamentals-azure,GlAg4V4eEeqsMg5E66X3Aw,Google Cloud Fundamentals for Azure Professionals: Core Infrastructure,gcp-fundamentals-azure,COURSE~GlAg4V4eEeqsMg5E66X3Aw,2,1,6,8,38,55
https://www.coursera.org/learn/gcp-fundamentals-br,__Ma50-_EeiymQplKkIgcA,Google Cloud Fundamentals: Core Infrastructure em Português Brasileiro,gcp-fundamentals-br,COURSE~__Ma50-_EeiymQplKkIgcA,3,0,3,16,109,131
https://www.coursera.org/learn/gcp-fundamentals-core-infrastructure-id,_DkQhXXWEemqoArotpdrqg,Google Cloud Fundamentals: Core Infrastructure dalam bahasa Indonesia,gcp-fundamentals-core-infrastructure-id,COURSE~_DkQhXXWEemqoArotpdrqg,0,1,2,12,203,218
https://www.coursera.org/learn/gcp-fundamentals-es,VMZqmE--EeiymQplKkIgcA,Google Cloud Fundamentals: Core Infrastructure en Español,gcp-fundamentals-es,COURSE~VMZqmE--EeiymQplKkIgcA,4,1,5,50,267,327
https://www.coursera.org/learn/gcp-fundamentals-fr,Tq_sjE-_EeiNBQqYqBGpZg,Google Cloud Fundamentals: Core Infrastructure en Français,gcp-fundamentals-fr,COURSE~Tq_sjE-_EeiNBQqYqBGpZg,0,1,0,3,6,10
https://www.coursera.org/learn/gcp-fundamentals-ita,nLOtx_Y2EeuF2QoXUFSfUQ,Google Cloud Fundamentals: Core Infrastructure in italiano,gcp-fundamentals-ita,COURSE~nLOtx_Y2EeuF2QoXUFSfUQ,0,0,0,0,0,0
