course_link,course_id,course_name
https://www.coursera.org/learn/processar-os-dados-para-limpa-los,cdV2aSqzEeyavRI3rIvGvQ,Processar os dados para limpá-los
https://www.coursera.org/learn/procurement-and-contracts-management,iy3tUGe_EeyIUg4Qv2RsBQ,إدارة المشتريات والعقود
https://www.coursera.org/learn/procurement-basics,uISbPW3zEeqE7xK8d4jUFw,Procurement Basics
https://www.coursera.org/learn/procurement-negotiation,uR9ep230EeqX8gpNBtLRnw,Procurement Negotiation
https://www.coursera.org/learn/procurement-sourcing-conclusions,4MIBtm30EeqQ0gqKcUPSfQ,Strategic Procurement and Sourcing Conclusions
https://www.coursera.org/learn/procurement-sourcing-introduction,lGTi424GEeqZGA6nG5ejfQ,Procurement & Sourcing Introduction
https://www.coursera.org/learn/producao-musico-moderno,6HqU1G14Eeem_Q73lEzyLA,Produção final do músico moderno
https://www.coursera.org/learn/produccion-musical,etUml1ZbEeWQVQr3-Nu12w,Introducción a la producción de música
https://www.coursera.org/learn/produccionycomposicion,7FRjpz1BEeWC4g7VhG4bTQ,Producción Musical y su Efecto en la Composición
https://www.coursera.org/learn/producing-music,LcLAGMEVEeWvUhLEBd1H9w,The Art of Music Production
https://www.coursera.org/learn/product-cost-and-investment-cash-flow-analysis,9zJkBMEDEeyuxwp8tS4JQw,Product Cost and Investment Cash Flow Analysis 
https://www.coursera.org/learn/product-management,JZA0SJFUEeup-AoS2h03mQ,Product Management
https://www.coursera.org/learn/product-management-essentials,FPZt1IeAEeusSgr_K7i0hw,Product Management Essentials
https://www.coursera.org/learn/product-positioning-strategies,2bUbbWYPEeyxLxJK4mLviw,استراتيجيات تمركز المنتج | Product Positioning Strategies
https://www.coursera.org/learn/productivity-systems-development,GnrAaWJQEeuj5A4IE9yi4Q,Productivity and Systems Development
https://www.coursera.org/learn/professional-brand,Lx5ydaOfEeW2ORLv1OUyFQ,Shaping Your Professional Brand
https://www.coursera.org/learn/professional-communication-skills-sales,asuGbfRSEeqKRA4yG8_0Rw,Practical Guide to Navigating Professional Relationships
https://www.coursera.org/learn/professional-communication-skills-sales-es,JoqL9j9mEeu-DRJvGJlnEQ,Guía práctica para gestionar las relaciones profesionales
https://www.coursera.org/learn/professional-development-improve-yourself,dpH3AKXTEeiH3AqX3raR7A,"Professional development: Improve yourself, always"
https://www.coursera.org/learn/professional-emails,b75Wh7MYEeWKaQ6n__gsuQ,Writing Professional Email and Memos (Project-Centered Course)
https://www.coursera.org/learn/professional-emails-english,BK2bam0iEeW9CAqYJHF3zQ,Write Professional Emails in English
https://www.coursera.org/learn/professional-identity,xg_cj6KwEeWiwAqQT7MHVQ,Foundations of Professional Identity
https://www.coursera.org/learn/professional-iq-capstone,PhN09t_nEeWZvQoinppBfQ,Professional IQ Capstone
https://www.coursera.org/learn/professional-selling-skills,fml309znEeyUPg5v8XBiWw,مهارات البيع الاحترافية | Professional Selling Skills
https://www.coursera.org/learn/professional-skills-networking,oS2FlU5kEeaRUwokXvhjDw,Professional Skills for International Business
https://www.coursera.org/learn/professional-teacher,w8XFGTVyEeWW9BKhJ4xW0Q,Foundations of Teaching for Learning: Being a Professional
https://www.coursera.org/learn/professionalism-in-an-era-of-change,0jk2ODDsEeiGpQoF2nM0eA,Professionalism in an era of change
https://www.coursera.org/learn/profundizacion-y-actualizacion-en-enfermedad-cardiovascular,bRhGBv4NEeyFUAphC_7O7w,Profundización y actualización en Enfermedad Cardiovascular
https://www.coursera.org/learn/program-code,6CxMgSTREeW3AhKilvRZ0Q,Learn to Program: Crafting Quality Code
https://www.coursera.org/learn/program-design-and-evaluation-for-health-systems-strengthening,sdHYAbozEeupsAq4ot0YUQ,Program Design & Evaluation for Health Systems Strengthening
https://www.coursera.org/learn/programacion-en-python-ii-aprendiendo-a-estructurar-datos,rEr_TwPFEe2tWQ4-VHOSiw,Programación en Python II: aprendiendo a estructurar datos
https://www.coursera.org/learn/programacion-python,4q-WyKE4Eeq6sw53XZdVoQ,Programación en Python
https://www.coursera.org/learn/programacion-python-objetos,DgniSrXvEein8hIIRrCzjg,Programación Orientada a Objetos con Python
https://www.coursera.org/learn/programae,2RQKJFb6EeWTbwotamPtlQ,Aprenda a ensinar programação com o Programaê!
https://www.coursera.org/learn/programandoconjava,dZuQ4VicEeWbIxLOmbkGCQ,Programando con Java para aplicaciones Android
https://www.coursera.org/learn/programmation,avE7QTpmEeml7w5XtLJASA,Introduction à la programmation
https://www.coursera.org/learn/programmation-orientee-objet-cpp,WQ_hY6RQEeWzOhI8vzQnoQ,Introduction à la programmation orientée objet (en C++)
https://www.coursera.org/learn/programmation-orientee-objet-java,1tsaMPdsEeWLNRKTxmetJQ,Introduction à la programmation orientée objet (en Java)
https://www.coursera.org/learn/programming-fundamentals,-634YPnoEeaOTwrEsgnL9g,Programming Fundamentals
https://www.coursera.org/learn/programming-fundamentals-swift,CKfOGM95EeyIXQ7d-KWeWQ,Programming Fundamentals in Swift
https://www.coursera.org/learn/programming-in-python,2jTqHscpEeyduw6ktL3Xvw,Programming in Python
https://www.coursera.org/learn/programming-languages,8om3I-4LEeSbxyIACw0OOQ,"Programming Languages, Part A"
https://www.coursera.org/learn/programming-languages-1,b9rNwr7TEey7Ug6bz8a8iw,Programming Languages Ⅰ
https://www.coursera.org/learn/programming-languages-part-b,TCmaO25NEeWdfRLY06XVmw,"Programming Languages, Part B"
https://www.coursera.org/learn/programming-languages-part-c,jZVi525OEeW8nw5ORrHGtQ,"Programming Languages, Part C"
https://www.coursera.org/learn/programming-languages2,3Q7RGR6rEe2GmwpLj0mpgw,Programming Languages Ⅱ
https://www.coursera.org/learn/programming-with-javascript,So1rPaCBEeyFDhLpwtOZqw,Programming with JavaScript
https://www.coursera.org/learn/programming-with-scratch,_pN6y0Z3EeeMtBKozo_2UA,Programming with Scratch
https://www.coursera.org/learn/proje-planlamasi-her-seyi-bir-araya-getirmek,vZtcuvPzEeuFqA67ilcVzQ,Proje Planlaması: Her Şeyi Bir Araya Getirmek
https://www.coursera.org/learn/proje-yonetiminin-temelleri,WkEx4-8xEeux-RJFwuFwBw,Proje Yönetiminin Temelleri
https://www.coursera.org/learn/project-execution,GZluGec0EeaqHRKenm-C8A,Project Execution
https://www.coursera.org/learn/project-execution-control,OdQlmynGEeuJ2QrrskyyVw,Project Execution and Control
https://www.coursera.org/learn/project-execution-google,ru_BPAp9EeuMRxJm6C8Z2w,Project Execution: Running the Project
https://www.coursera.org/learn/project-execution-running-the-project-arabic,3h0P1ycMEeyavRI3rIvGvQ,تنفيذ المشروع: تشغيل المشروع
https://www.coursera.org/learn/project-initiation-google,mYs5UAp9Eeuh2QpCvqFzYQ,Project Initiation: Starting a Successful Project
https://www.coursera.org/learn/project-initiation-planning,IUHc0inGEeuSLA4bQRe5jw,Project Initiation and Planning
https://www.coursera.org/learn/project-initiation-starting-a-successful-project-arabic,rTiOVycEEeyxgAr51Gjbpw,بدء المشروع: بدء مشروع ناجح
https://www.coursera.org/learn/project-management,zErmN5rZEeajJhIEs83WWg,Project Launch
https://www.coursera.org/learn/project-management-basics,PLnREdJzEeSeOiIACzWBkQ,Project Management: The Basics for Success
https://www.coursera.org/learn/project-management-basics-ar,dijyIGgGEeyxLxJK4mLviw,إدارة المشروع: أساسيات النجاح
https://www.coursera.org/learn/project-management-basics-fr,ZGeBNmgGEeyQuAqyaULE4w,Gestion de projet : les bases de la réussite
https://www.coursera.org/learn/project-management-beyond-planning-and-control,aw4tvUFrEeyeYA42DXbPkQ,Project Management: Beyond planning and control
https://www.coursera.org/learn/project-management-capstone,trDN9vgGEeSW1SIAC3oCCQ,Project Management Project
https://www.coursera.org/learn/project-management-foundations,fxgoIcbTEeqZOA5eKDHL-w,Foundations of Project Management
https://www.coursera.org/learn/project-management-foundations-initiation,eh_2qLa6EeyfUwo3nkjEyw,Project Management: Foundations and Initiation
https://www.coursera.org/learn/project-planning,iRBJm_LREeSplSIACzYDNg,Initiating and Planning Projects
https://www.coursera.org/learn/project-planning-1,RpCqbucEEeaH9Q51wS-wDA,Project Planning
https://www.coursera.org/learn/project-planning-ar,qIVkPSO8EeuVrhKFjkWrKw,بدء المشاريع والتخطيط لها
https://www.coursera.org/learn/project-planning-es,-Tf2CiO8EeuHsgrcqIyowQ,Inicio y planificación de proyectos
https://www.coursera.org/learn/project-planning-execution,_PLejra6EeylFg5RSkHilQ,Project Planning and Execution
https://www.coursera.org/learn/project-planning-fr,HhtExGVdEeyQuAqyaULE4w,Initier et planifier des projets
https://www.coursera.org/learn/project-planning-google,n518dwp9EeuiRg5-nJvwRw,Project Planning: Putting It All Together
https://www.coursera.org/learn/project-planning-pt,2b185iO8EeuZCg52ZqAIxQ,Iniciando e planejando projetos
https://www.coursera.org/learn/project-planning-putting-it-all-together-arabic,zRET_icJEeyavRI3rIvGvQ,التخطيط للمشروع: وضع كل شيء معًا
https://www.coursera.org/learn/project-planning-ru,nskr9yO8EeuBKxKy0yCFlw,Инициирование и планирование проектов
https://www.coursera.org/learn/project-practicum-with-multiple-projects,10W6Te_sEea7DBK-0BPzLg,Project Practicum with Multiple Projects
https://www.coursera.org/learn/project-risk-management,L7stsPOKEeSlpiIAC7NwBA,Managing Project Risks and Changes
https://www.coursera.org/learn/project-risk-management-ar,psZJ6yMKEeuBKxKy0yCFlw,إدارة مخاطر المشروعات والتغييرات التي تطرأ عليها
https://www.coursera.org/learn/project-risk-management-de,mjgFz-NrEeqzHRIG_5eHaQ,Projektrisiken und -änderungen managen
https://www.coursera.org/learn/project-risk-management-es,67zcDyMKEeuldw5ABFy2_Q,Gestión de riesgos y cambios de proyectos
https://www.coursera.org/learn/project-risk-management-fr,BiSAp-NsEeq9fgo2haAwUQ,Gérer les risques et les modifications d’un projet
https://www.coursera.org/learn/project-risk-management-ru,sKN3F-NrEeqdwhKNflHjeQ,Управление рисками проекта и изменениями
https://www.coursera.org/learn/project-risk-quality-management,lZrHPHT_EeaudA5QhlNglQ,"Engineering Project Management: Risk, Quality, Teams, and Procurement"
https://www.coursera.org/learn/project-valuation-and-the-capital-budgeting-process,ZOE-cdISEeyS9RLEXEFb1w,Project Valuation and the Capital Budgeting Process
https://www.coursera.org/learn/projektabwicklung-das-projekt-durchfuhren,ExJ6ufP0EeunlRJ3a9tz_Q,Projektabwicklung: Das Projekt durchführen
https://www.coursera.org/learn/projektinitiierung-ein-erfolgreiches-projekt-starten,DGVb8_C4EeutkA6RBhqgvQ,Projektinitiierung: Ein Erfolgreiches Projekt Starten
https://www.coursera.org/learn/projektmanagement-in-der-realen-welt-anwenden,UEY54xzpEeyZ9BL8TB78QQ,Abschlussprojekt: Projektmanagement in der realen Welt anwenden
https://www.coursera.org/learn/projektplanung-das-gesamtbild,bih2xPPzEeuFqA67ilcVzQ,Projektplanung: Das Gesamtbild
https://www.coursera.org/learn/projet-capstone-du-certificat-danalytique-des-donnees-de-google,qpAo8irJEey4dA6DVmO2QQ,Projet Capstone du Certificat d'analytique des données de Google : Terminer une étude de cas
https://www.coursera.org/learn/projet-programmation-java,CNNezAGtEeiFMA4jWj2FcA,Projet de programmation (en Java)
https://www.coursera.org/learn/projeto-aplicado,DNjuwMiiEeetVxL_z0RIpA,Iniciação e Planejamento de Projetos
https://www.coursera.org/learn/projeto-final-aplicacao-do-gerenciamento,WVkvNxzoEeyZ9BL8TB78QQ,Projeto final: Aplicação do gerenciamento de projetos no mundo real
https://www.coursera.org/learn/projeto-final-conclua-um-estudo-de-caso,xqojNSrHEeyavRI3rIvGvQ,Projeto final de Data Analytics do Google: conclua um estudo de caso
https://www.coursera.org/learn/projeyi-baslatma-projeye-basariyla-adim-atma,YhGU-_C4EeuaOxJclk1ROQ,Projeyi Başlatma: Projeye Başarıyla Adım Atma
https://www.coursera.org/learn/projeyi-yurutme-projeyi-hayata-gecirme,P23qzvP0EeuFqA67ilcVzQ,Projeyi Yürütme: Projeyi Hayata Geçirme
https://www.coursera.org/learn/promote-ethical-data-driven-technologies,N1IiQ4-VEeqqOhJwEK9AFw,Promote the Ethical Use of Data-Driven Technologies
https://www.coursera.org/learn/promote-scientific-results,T8JHHwleEeuf7w5EwYPThw,Promote your Scientific Results
https://www.coursera.org/learn/promoting-accessible-workplaces-with-assistive-technology,JB3hLEDLEe2G8Are2MuL1Q,Promoting Accessible Workplaces with Assistive Technology  
https://www.coursera.org/learn/promotional-materials-every-musician-needs,yveP2MMlEeus8wpKTixpYQ,Promotional Materials Every Musician Needs
https://www.coursera.org/learn/pronunciation-american-english-project,EocgQDiGEeqT_hISYQ1H_Q,The Pronunciation of American English Project
https://www.coursera.org/learn/property-law-and-economics,W-ayAiM9EeSjriIACzaDig,Property and Liability: An Introduction to Law and Economics
https://www.coursera.org/learn/prostate-cancer,pIqvGqhJEeaZwBIdLOcDZg,Understanding Prostate Cancer
https://www.coursera.org/learn/proteccion-datos,KIQVE1TpEeulPAroU7-MFQ,Ley de protección de datos. Conoce tus derechos
https://www.coursera.org/learn/protect-and-grow-your-business,Y_gojDdYEeyO8BKA-INK0w,Protect and Grow Your Freelancing Business 
https://www.coursera.org/learn/protect-business-innovations-copyright,VSaBnDCQEees8hJiKRB1Tg,Protecting Business Innovations via Copyright
https://www.coursera.org/learn/protect-business-innovations-patent,98ToAjCQEeeUJAp8qPNzqg,Protecting Business Innovations via Patent
https://www.coursera.org/learn/protect-business-innovations-strategy,7g9jQd_lEeeJCBKWimXVMA,Protecting Business Innovations via Strategy
https://www.coursera.org/learn/protect-business-innovations-trademark,3BtSOZkvEeeNegqR6J6tDg,Protecting Business Innovations via Trademark
https://www.coursera.org/learn/protools,tEqImn2kEeWb-BLhFdaGww,Pro Tools Basics
https://www.coursera.org/learn/prototyping-design,ZJW66DyqEeaLPBLO22JV-w,Prototyping and Design
https://www.coursera.org/learn/providing-social-emotional-behavioral-and-special-education-services-in-school,JqEGX9GGEeitxQ70uNWGTA,"Providing Social, Emotional, Behavioral, and Special Education Services in School"
https://www.coursera.org/learn/proyect,mx5e-8TQEee5MA6epWiEig,Proyecto de diseño instruccional para el aprendizaje activo en ambientes digitales
https://www.coursera.org/learn/proyecto-capstone-ie,2wEt_6TtEeW55wpLX5AfmQ,Implementación del Marketing Mix Proyecto Capstone
https://www.coursera.org/learn/proyecto-desarrollo-videojuegos,r6mXvyWVEeWxbhIkPfddLQ,Desarrollo y Diseño de Videojuegos: Proyecto final
https://www.coursera.org/learn/proyecto-final-chino-basico,CIGz7VpmEeW0ugrg2GGh4Q,Proyecto Final: Chino básico - Lenguaje y cultura empresarial
https://www.coursera.org/learn/proyecto-final-de-analitica-de-datos,yjn8Ri2qEeuWUxL5mz6vJw,Proyecto Final de Analítica de Datos
https://www.coursera.org/learn/proyecto-final-en-diseno-y-gestion-de-proyectos-de-desarrollo,yi2uIQgrEey7UArf-9pKDQ,Proyecto Final: Diseño y Gestión de Proyectos de Desarrollo
https://www.coursera.org/learn/proyecto-final-la-gestion-de-proyectos-en-el-mundo-real,n9bghhz0Eeyguw70hCEltQ,Proyecto final: Aplicación de la gestión de proyectos en el mundo real
https://www.coursera.org/learn/proyecto-musico,vFsLYmJaEeWpHwqwM9Gg0w,Proyecto final de Músico moderno
https://www.coursera.org/learn/proyecto-negociacion,_D2Jt7WpEeWkwBIgnN7tuw,Proyecto final sobre negociación para un mejor clima laboral
https://www.coursera.org/learn/proyecto-profesional,P0Ty9WJaEeWoKwoGqTI8CQ,Proyecto Final de Éxito Profesional
https://www.coursera.org/learn/proyectofinanzascorporativas,yB5SiQ5YEeaX4g6xdats6w,Toma de decisiones financieras
https://www.coursera.org/learn/proyectos-complejos-exitosos-fracasados,z95q67HkEei7nAp_0BoQJg,Proyectos complejos: éxitos o fracasos
https://www.coursera.org/learn/proyek-akhir-analitis-data-google-selesaikan-sebuah-studi-kasus,H1S9SiycEey_gAqlB2poCQ,Proyek Akhir Analitis Data Google: Selesaikan Sebuah Studi Kasus
https://www.coursera.org/learn/psicologa-de-la-salud,AeKQmML6Eeux9w57Jm7QdQ,Psicología de la salud
https://www.coursera.org/learn/psicologa-positiva,dwEwHE6sEeuZGAr_TcQGiQ,Psicología Positiva
https://www.coursera.org/learn/psicologia,gQEwUdJlEeqAsA6lViqMqQ,Psicología 
https://www.coursera.org/learn/psicologia-de-la-percepcion,mYte2WucEeumww4A4k-nvw,Psicología de la Percepción
https://www.coursera.org/learn/psicologia-del-aprendizaje,hEewaGo6EeufExI7Hdi1lQ,Psicología del Aprendizaje
https://www.coursera.org/learn/psicologia-principios,H1WuPO-MEeqc7w555DCBvQ,Principios de Psicología
https://www.coursera.org/learn/psychological-first-aid,hbvvfJLaEeWBSw79YYA_8Q,Psychological First Aid
https://www.coursera.org/learn/psychology-of-thrill-seekers,Uejan-f0EeaVLRKoA_hS8A,The Psychology of Thrill Seekers
https://www.coursera.org/learn/psychosocial-spiritual-aspects-palliative-care,5ykQv9bMEeeewApjcDCDbg,Psychosocial and Spiritual Aspects of Palliative Care
https://www.coursera.org/learn/public-art-pedagogy,09t_rNv7EeWyqBL0ju_dbQ,ART of the MOOC: Public Art and Pedagogy
https://www.coursera.org/learn/public-health,zG8xMEYmEeeMtBKozo_2UA,"The People, Power, and Pride of Public Health"
https://www.coursera.org/learn/public-health-depression,s6_Z4SBAEeWcQw5YiljpGw,Major Depression in the Population: A Public Health Approach
https://www.coursera.org/learn/public-involvement-in-research,Tr1MYcgNEeqPAhL868CW2w,Public Involvement in Research
https://www.coursera.org/learn/public-speaking,qLtWVV2nEea6OBIvyzcuGw,Introduction to Public Speaking
https://www.coursera.org/learn/public-speaking-ar,8poLxNMxEei2eRJD3hIxMA,مقدمة عن مخاطبة الجمهور - باللغة العربية
https://www.coursera.org/learn/public-speaking-skills,E7jbxna2Eey3rxIS7UGl2w,مهارة مخاطبة الجمهور | Public Speaking Skills
https://www.coursera.org/learn/publicidad-con-facebook,R7TMD0P9EeusyQ4n_00ahw,Publicidad con Meta
https://www.coursera.org/learn/publicidad-digital,caUavg4QEeaY6ApZCjoQPw,Publicidad Digital con Google AdWords
https://www.coursera.org/learn/pucp-impresion3d,HXdnbHmiEeyrDAqvINCGXQ,Impresión 3D
https://www.coursera.org/learn/pucp-realidadaumentada,qsrMNV5OEeylVwruWY_HEQ,Realidad Aumentada
https://www.coursera.org/learn/purpose-at-work,yjui3j5oEe2wjQ6wBEO8YQ,Purpose at Work: A Course for Employees and Leaders
https://www.coursera.org/learn/python,7A1yFTaREeWWBQrVFXqd1w,Programming for Everybody (Getting Started with Python)
https://www.coursera.org/learn/python-analysis,NZrYJ-NeEeatchKZ_SmDKA,Python Data Analysis
https://www.coursera.org/learn/python-and-pandas-for-data-engineering-duke,-NsvMB08Eeyj2Qq8cOKkHw,Python and Pandas for Data Engineering
https://www.coursera.org/learn/python-ar,ZwDki_jeEeimpgpix3LBMA,البرمجة للجميع - بدء استخدام بايثون
https://www.coursera.org/learn/python-base-de-datos,OApydbXvEeidLRK1fOPV5g,Manejo de bases de datos con Python
https://www.coursera.org/learn/python-basic-structures-lists-strings-and-files,2iwzNFxUEeuaew6diVe1Ww,"Python Basic Structures: Lists, Strings, and Files"
https://www.coursera.org/learn/python-basics,lGfJI2RJEeiXlwpPEKC-GA,Python Basics
